record;Bullied_on_school_property_in_past_12_months;Bullied_not_on_school_property_in_past_12_months;Cyber_bullied_in_past_12_months;Custom_Age;Sex;Physically_attacked;Physical_fighting;Felt_lonely;Close_friends;Miss_school_no_permission;Other_students_kind_and_helpful;Parents_understand_problems;Most_of_the_time_or_always_felt_lonely;Missed_classes_or_school_without_permission;Were_underweight;Were_overweight;Were_obese
113;No;Yes;Yes;17 years old;Male;1 time;1 time;Never;1;10 or more days;Sometimes;Most of the time;No;Yes;No;No;No
114;No;No;No;13 years old;Female;0 times;0 times;Rarely;3 or more;0 days;Most of the time;Sometimes;No;No;No;No;No
115;Yes;No;No;12 years old;Male;0 times;0 times;Rarely;2;0 days;Sometimes;Never;No;No;No;Yes;No
116;No;No;No;13 years old;Male;1 time;1 time;Rarely;3 or more;0 days;Rarely;Sometimes;No;No;No;No;No
117;No;No;No;13 years old;Male;0 times;0 times;Never;3 or more;0 days;Always;Always;No;No;No;Yes;No
118;Yes;No;No;13 years old;Female;0 times;0 times;Sometimes;3 or more;0 days;Sometimes;Sometimes;No;No;No;No;No
119;Yes;No;No;13 years old;Female;0 times;0 times;Rarely;3 or more;0 days;Sometimes;Always;No;No;No;No;No
120;No;No;No;14 years old;Male;0 times;0 times;Sometimes;3 or more;0 days;Rarely;Most of the time;No;No;Yes;No;No
121;No;No;No;13 years old;Male;0 times;4 or 5 times;Never;3 or more;0 days;Most of the time;Never;No;No;No;Yes;Yes
122;Yes;Yes;Yes;13 years old;Female;0 times;0 times;Most of the time;1;0 days;Always;Always;Yes;No;No;Yes;No
123;Yes;No;Yes;13 years old;Female;0 times;0 times;Always;1;1 or 2 days;Sometimes;Never;Yes;Yes;No;Yes;No
124;No;Yes;Yes;13 years old;Male;0 times;1 time;Never;3 or more;1 or 2 days;Most of the time;Always;No;Yes;No;Yes;No
125;No;Yes;No;14 years old;Male;0 times;4 or 5 times;Never;3 or more;6 to 9 days;Most of the time;Rarely;No;Yes;No;Yes;No
126;Yes;No;Yes;13 years old;Female;1 time;0 times;Most of the time;2;0 days;Most of the time;Never;Yes;No;No;No;No
127;No;No;No;13 years old;Male;0 times;0 times;Most of the time;0;0 days;Sometimes;Rarely;Yes;No; ; ; 
128;No;No;No;13 years old;Female;4 or 5 times;4 or 5 times;Rarely;3 or more;0 days;Sometimes;Sometimes;No;No; ; ; 
129;Yes;Yes;Yes;14 years old;Female;10 or 11 times;1 time;Always;3 or more;0 days;Sometimes;Most of the time;Yes;No;No;No;No
130;No;No;No;13 years old;Male;0 times;4 or 5 times;Never;3 or more;1 or 2 days;Rarely;Sometimes;No;Yes;No;Yes;No
131; ;Yes;No;13 years old;Female;0 times;0 times;Rarely;3 or more;0 days;Most of the time;Always;No;No;No;No;No
132;Yes;No;Yes;13 years old;Female;0 times;0 times;Rarely;3 or more;0 days;Sometimes;Always;No;No;No;No;No
133;No;Yes;Yes;13 years old;Female;0 times;1 time;Sometimes;3 or more;0 days;Sometimes;Sometimes;No;No;No;No;No
134;No;No;No;13 years old;Male;0 times;6 or 7 times;Never;3 or more;0 days;Most of the time;Most of the time;No;No;No;Yes;No
135;No;No;No;13 years old;Female;0 times;0 times;Sometimes;3 or more;0 days;Most of the time;Always;No;No; ; ; 
136;Yes;No;Yes;14 years old;Female;1 time;0 times;Most of the time;1;0 days;Rarely; ;Yes;No; ; ; 
137;No;No;Yes;13 years old;Male;1 time;2 or 3 times;Rarely;3 or more;0 days;Sometimes;Sometimes;No;No;Yes;No;No
138;Yes;No;No;13 years old;Female;0 times;0 times;Sometimes;3 or more;0 days;Most of the time;Rarely;No;No;No;No;No
139;Yes;No;No;13 years old;Female;0 times;0 times;Sometimes;1;0 days;Sometimes;Rarely;No;No;No;No;No
140;No;Yes;No;15 years old;Male;0 times;0 times;Rarely;3 or more;0 days;Rarely;Never;No;No;No;No;No
141;No;No;No;14 years old;Female;0 times;0 times;Sometimes;3 or more;0 days;Most of the time;Most of the time;No;No;No;No;No
142;No;No;No;14 years old;Male;0 times;0 times;Never;3 or more;0 days;Most of the time;Most of the time;No;No;No;Yes;Yes
143;No;No;No;14 years old;Female;0 times;0 times;Rarely;3 or more;0 days;Always;Sometimes;No;No; ; ; 
144;No;No;No;14 years old;Male;0 times;0 times;Never;3 or more;0 days;Always;Sometimes;No;No;No;Yes;No
145;No;No;No;15 years old;Female;0 times;0 times;Never;3 or more;0 days;Most of the time;Always;No;No;No;No;No
146;No;No;No;14 years old;Male;0 times;0 times;Rarely;3 or more;0 days;Sometimes;Always;No;No; ; ; 
147;No;No;No;14 years old;Male;0 times;2 or 3 times;Never;2;0 days;Most of the time;Most of the time;No;No;No;No;No
148;No;No;No;14 years old;Female;0 times;0 times;Sometimes;3 or more;0 days;Most of the time;Always;No;No;No;No;No
149;No;No;No;14 years old;Female;0 times;0 times;Sometimes;3 or more;0 days;Most of the time;Always;No;No;No;No;No
150;No;No;No;14 years old;Female;0 times;0 times;Sometimes;2;3 to 5 days;Never;Never;No;Yes;No;No;No
151;No;No;No;14 years old;Male;0 times;0 times;Never;3 or more;1 or 2 days;Most of the time;Never;No;Yes;No;Yes;No
152;No;No;No;14 years old;Female;0 times;0 times;Sometimes; ;0 days;Sometimes;Never;No;No;No;No;No
153;No;No;No;15 years old;Female;0 times;1 time;Sometimes;3 or more;1 or 2 days;Most of the time;Most of the time;No;Yes;No;No;No
154;No;No;No;14 years old;Female;0 times;0 times;Most of the time;3 or more;0 days;Always;Rarely;Yes;No; ; ; 
155;Yes;No;No;14 years old;Male;1 time;0 times;Sometimes;0;0 days;Always;Sometimes;No;No;No;No;No
156;No;No;No;14 years old;Female;0 times;0 times;Sometimes;3 or more;0 days;Sometimes;Sometimes;No;No; ; ; 
157;No;No;Yes;15 years old;Female;0 times;0 times;Sometimes;3 or more;0 days;Always;Rarely;No;No; ; ; 
158;No;No;No;14 years old;Male;0 times;2 or 3 times;Never;2;3 to 5 days;Never;Never;No;Yes;No;No;No
159;No;No;No;13 years old;Male;0 times;0 times;Sometimes;3 or more;3 to 5 days;Rarely;Never;No;Yes;No;No;No
160;No;No;Yes;14 years old;Female;0 times;0 times;Sometimes;2;0 days;Always;Always;No;No; ; ; 
161;No;No;No;14 years old;Female;0 times;0 times;Sometimes;3 or more;0 days;Most of the time;Never;No;No;No;No;No
162;No;No;No;14 years old;Female;4 or 5 times;0 times;Rarely;3 or more;0 days;Sometimes;Never;No;No; ; ; 
163;Yes;Yes;No;15 years old;Male;0 times;0 times;Never;3 or more;0 days;Sometimes;Rarely;No;No;No;Yes;Yes
164;No;No;No;14 years old;Male;0 times;0 times;Never;2;0 days;Rarely;Sometimes;No;No;No;Yes;Yes
165;No;No;No;14 years old;Female;0 times;0 times;Rarely;3 or more;0 days;Always;Never;No;No; ; ; 
166;No;Yes;Yes;15 years old;Female;0 times;0 times;Most of the time;3 or more;0 days;Most of the time;Sometimes;Yes;No;No;No;No
167;No;Yes;Yes;14 years old;Male;0 times;0 times;Never;3 or more;0 days;Most of the time;Sometimes;No;No;No;Yes;No
168;No;No;No;15 years old;Male;0 times;0 times;Never;3 or more;0 days;Always;Sometimes;No;No;No;Yes;No
169;No;No;Yes;14 years old;Male;0 times;0 times;Rarely;3 or more;0 days;Most of the time;Sometimes;No;No;No;Yes;No
170;No;No;No;14 years old;Male;0 times;0 times;Rarely;3 or more;0 days;Always;Never;No;No;No;No;No
171;Yes;Yes;No;15 years old;Female;0 times;0 times;Most of the time;2;0 days;Most of the time;Always;Yes;No;No;Yes;No
172;Yes;No;No;15 years old;Female;0 times;1 time;Most of the time;3 or more;0 days;Always;Never;Yes;No;No;Yes;No
173;Yes;No;No;15 years old;Female;0 times;0 times;Most of the time;3 or more;0 days;Always;Most of the time;Yes;No;No;No;No
174;Yes;Yes;Yes;15 years old;Female;0 times;2 or 3 times;Most of the time;0;1 or 2 days;Rarely;Never;Yes;Yes;No;No;No
175;Yes;Yes;Yes;15 years old;Female;2 or 3 times;0 times;Always;0;0 days;Rarely;Rarely;Yes;No;No;No;No
176;No;No;Yes;15 years old;Female;0 times;0 times;Most of the time; ;0 days;Most of the time;Rarely;Yes;No;No;No;No
177;Yes;No;No;15 years old;Female;0 times;0 times;Sometimes;3 or more;0 days;Most of the time;Rarely;No;No;No;No;No
178;No;Yes;No;15 years old;Male;2 or 3 times;1 time;Rarely;3 or more;6 to 9 days;Most of the time;Always;No;Yes;No;No;No
179;No;No;No;15 years old;Female;0 times;0 times;Most of the time;2;0 days;Sometimes;Rarely;Yes;No;No;Yes;No
180;No;No;No;15 years old;Male;0 times;0 times;Never;3 or more;0 days;Always;Always;No;No; ; ; 
181;No;No;No;15 years old;Male;0 times;1 time;Always;0;0 days;Rarely;Never;Yes;No;No;No;No
182;No;No;No;15 years old;Male;0 times;0 times;Never;3 or more;0 days;Most of the time;Never;No;No;No;Yes;Yes
183;No;No;Yes;15 years old;Female;0 times;1 time;Most of the time;1;0 days;Always;Most of the time;Yes;No; ; ; 
184;Yes;No;Yes;15 years old; ;0 times;1 time;Most of the time;3 or more;0 days;Rarely;Rarely;Yes;No; ; ; 
185;No;No;No;15 years old;Male;0 times;0 times;Rarely;3 or more;0 days;Always;Rarely;No;No;No;No;No
186;Yes;No;No;15 years old;Female;0 times;0 times;Never;3 or more;0 days;Sometimes;Always;No;No;No;No;No
187;No;No;No;15 years old;Female;2 or 3 times;4 or 5 times;Sometimes;3 or more;0 days;Most of the time;Most of the time;No;No;No;Yes;No
188;Yes;Yes;No;15 years old;Female;4 or 5 times;2 or 3 times;Sometimes;2;0 days;Sometimes;Always;No;No;No;No;No
189;No;Yes;No;15 years old;Male;2 or 3 times;4 or 5 times;Sometimes;3 or more;0 days;Most of the time;Never;No;No;No;No;No
190;Yes;No;No;16 years old;Male;0 times;0 times;Sometimes;2;0 days;Never;Always;No;No;No;No;No
191;Yes;No;No;15 years old;Female;0 times;0 times;Sometimes;3 or more;0 days;Sometimes;Rarely;No;No;No;No;No
192;No;No;No;15 years old;Female;0 times;0 times;Sometimes;3 or more;6 to 9 days;Most of the time;Sometimes;No;Yes;No;No;No
193;No;No;No;15 years old;Female;0 times;0 times;Rarely;3 or more;0 days;Most of the time;Most of the time;No;No;No;Yes;Yes
194;Yes;No;Yes;16 years old;Female;0 times;0 times;Sometimes;3 or more;0 days;Most of the time;Rarely;No;No;No;Yes;Yes
195;Yes;Yes;Yes;15 years old;Male;0 times;0 times;Rarely;1;0 days;Most of the time;Sometimes;No;No;No;No;No
196;Yes;No;Yes;15 years old;Female;0 times;0 times;Sometimes;3 or more;0 days;Most of the time;Rarely;No;No;No;No;No
197;No;Yes;Yes;15 years old;Female;4 or 5 times;4 or 5 times;Sometimes;3 or more;1 or 2 days;Rarely;Never;No;Yes;No;Yes;No
198;No; ;Yes;16 years old;Female;0 times;0 times;Most of the time;3 or more;0 days;Most of the time; ;Yes;No; ; ; 
199;No;No;No;15 years old;Female;0 times;0 times;Never;3 or more;0 days;Always;Always;No;No; ; ; 
200;No;No;No;16 years old;Female;0 times;0 times;Sometimes;3 or more;0 days;Sometimes;Always;No;No;No;Yes;No
